Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living,root_class,qualifier,wikidata_ID,aphia_ID,NCBI_ID,BOLD_ID,ecotaxa_ID
planktonset1.0,siphonophore_calycophoran_abylidae,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,,,abylidae,True,True,living,full_body,Q3386609,135336.0,316207.0,109624.0,328
zooscan,eudoxie_Abylopsis tetragona,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,abylopsis,tetragona,abylopsis tetragona,True,True,living,full_body,Q1931947,135403.0,316209.0,461338.0,321
zooscan,bract_Abylopsis tetragona,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,abylopsis,tetragona,abylopsis tetragona,True,True,living,full_body,Q1931947,135403.0,316209.0,461338.0,321
zooscan,gonophore_Abylopsis tetragona,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,abylopsis,tetragona,abylopsis tetragona,True,True,living,full_body,Q1931947,135403.0,316209.0,461338.0,321
zooscan,nectophore_Abylopsis tetragona,animalia,cnidaria,hydrozoa,siphonophorae,abylidae,abylopsis,tetragona,abylopsis tetragona,True,True,living,full_body,Q1931947,135403.0,316209.0,461338.0,321
planktoscope,Lithoptera,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
global_uvp5,Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
isiisnet,Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktonset1.0,acantharia_protist,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktonset1.0,acantharia_protist_big_center,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktonset1.0,acantharia_protist_halo,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktoscope,Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
planktoscope,Acantharia,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
uvp6net,fuzzy,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
uvp6net,spiky<Acantharia,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
uvp6net,star<Acantharia,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,full_body,Q135584,586732.0,65574.0,714957.0,625;640
global_uvp5,like<Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,like,Q135584,586732.0,65574.0,714957.0,625;640
isiisnet,like_Acantharea,chromista,radiozoa,acantharia,,,,,acantharia,True,True,living,like,Q135584,586732.0,65574.0,714957.0,625;640
planktoscope,Acartiidae,animalia,arthropoda,copepoda,calanoida,acartiidae,,,acartiidae,True,True,living,full_body,Q3809261,104074.0,121147.0,1731.0,49;758
zoocamnet,Acartiidae,animalia,arthropoda,copepoda,calanoida,acartiidae,,,acartiidae,True,True,living,full_body,Q3809261,104074.0,121147.0,1731.0,49;758
zooscan,Acartiidae,animalia,arthropoda,copepoda,calanoida,acartiidae,,,acartiidae,True,True,living,full_body,Q3809261,104074.0,121147.0,1731.0,49;758
global_uvp5,Acrocirridae,animalia,annelida,polychaeta,terebellida,acrocirridae,,,acrocirridae,True,True,living,full_body,Q3556969,920.0,278013.0,125431.0,558;632
zooscan,Actiniaria,animalia,cnidaria,hexacorallia,actiniaria,,,,actiniaria,True,True,living,full_body,Q147256,1360.0,6103.0,265667.0,
planktoscope,Actinommidae,chromista,radiozoa,polycystina,spumellaria,actinommidae,,,actinommidae,True,True,living,full_body,Q20760511,345836.0,414914.0,714957.0,655
lensless,ACTINOSPHAERIUM NUCLEOFILUM,chromista,ochrophyta,raphidophyceae,actinophryida,actinosphaeriidae,actinosphaerium,nucleofilum,actinosphaerium nucleofilum,True,True,living,full_body,Q106775278,590589.0,238767.0,99195.0,
global_uvp5,Aegina,animalia,cnidaria,hydrozoa,narcomedusae,aeginidae,aegina,,aegina,True,True,living,full_body,Q21445673,116994.0,168709.0,900398.0,310
global_uvp5,Aegina citrea,animalia,cnidaria,hydrozoa,narcomedusae,aeginidae,aegina,citrea,aegina citrea,True,True,living,full_body,Q3380366,117263.0,168710.0,900399.0,310
global_uvp5,Aequorea,animalia,cnidaria,hydrozoa,leptothecata,aequoreidae,aequorea,,aequorea,True,True,living,full_body,Q1403185,116998.0,6099.0,103518.0,644
global_uvp5,Aequoreidae,animalia,cnidaria,hydrozoa,leptothecata,aequoreidae,,,aequoreidae,True,True,living,full_body,Q786058,13553.0,128126.0,103517.0,644
global_uvp5,Aglantha,animalia,cnidaria,hydrozoa,trachymedusae,rhopalonematidae,aglantha,,aglantha,True,True,living,full_body,Q4002700,117212.0,56244.0,303015.0,305
global_uvp5,Aglantha digitale,animalia,cnidaria,hydrozoa,trachymedusae,rhopalonematidae,aglantha,digitale,aglantha digitale,True,True,living,full_body,Q394190,117849.0,56245.0,303016.0,305
planktonset1.0,hydromedusae_aglaura,animalia,cnidaria,hydrozoa,trachymedusae,rhopalonematidae,aglaura,,aglaura,True,True,living,full_body,Q43248260,117213.0,497489.0,656360.0,163
zooscan,Aglaura,animalia,cnidaria,hydrozoa,trachymedusae,rhopalonematidae,aglaura,hemistoma,aglaura hemistoma,True,True,living,full_body,Q2752599,117851.0,497490.0,656361.0,163
whoi,Akashiwo,chromista,myzozoa,dinophyceae,gymnodiniales,gymnodiniaceae,akashiwo,,akashiwo,True,True,living,full_body,Q18645465,231787.0,143671.0,317057.0,240
medplanktonset,Akashiwo_sanguinea,chromista,myzozoa,dinophyceae,gymnodiniales,gymnodiniaceae,akashiwo,sanguinea,akashiwo sanguinea,True,True,living,full_body,Q416309,232546.0,143672.0,317058.0,240
medplanktonset,Alexandrium_spp,chromista,myzozoa,dinophyceae,gonyaulacales,pyrocystaceae,alexandrium,,alexandrium,True,True,living,full_body,Q4721024,109470.0,2924.0,317026.0,240
whoi,amoeba,protozoa,amoebozoa,tubulinea,euamoebida,amoebidae,amoeba,,amoeba,True,True,living,full_body,Q46729,120533.0,5774.0,494587.0,
flowcamnet,Acantharia,chromista,radiozoa,acantharia,symphyacanthida,amphilithidae,amphibelone,,amphibelone,True,True,living,full_body,Q50807513,1701367.0,278120.0,714957.0,653
planktoscope,Amphibelone,chromista,radiozoa,acantharia,symphyacanthida,amphilithidae,amphibelone,,amphibelone,True,True,living,full_body,Q50807513,1701367.0,278120.0,714957.0,653
medplanktonset,Amphidinium_spp,chromista,myzozoa,dinophyceae,amphidiniales,amphidiniaceae,amphidinium,,amphidinium,True,True,living,full_body,Q4748248,109473.0,2960.0,317075.0,240
whoi,Amphidinium_sp,chromista,myzozoa,dinophyceae,amphidiniales,amphidiniaceae,amphidinium,,amphidinium,True,True,living,full_body,Q4748248,109473.0,2960.0,317075.0,240
global_uvp5,Amphipoda,animalia,arthropoda,malacostraca,amphipoda,,,,amphipoda,True,True,living,full_body,Q193418,1135.0,6821.0,326.0,222;596
planktonset1.0,amphipods,animalia,arthropoda,malacostraca,amphipoda,,,,amphipoda,True,True,living,full_body,Q193418,1135.0,6821.0,326.0,222;596
uvp6net,Amphipoda,animalia,arthropoda,malacostraca,amphipoda,,,,amphipoda,True,True,living,full_body,Q193418,1135.0,6821.0,326.0,222;596
uvp6net,Hyperiidea,animalia,arthropoda,malacostraca,amphipoda,,,,amphipoda,True,True,living,full_body,Q193418,1135.0,6821.0,326.0,222;596
zoocamnet,Amphipoda,animalia,arthropoda,malacostraca,amphipoda,,,,amphipoda,True,True,living,full_body,Q193418,1135.0,6821.0,326.0,222;596
zooscan,Amphipoda,animalia,arthropoda,malacostraca,amphipoda,,,,amphipoda,True,True,living,full_body,Q193418,1135.0,6821.0,326.0,222;596
zooscan,Hyperiidea,animalia,arthropoda,malacostraca,amphipoda,,,,amphipoda,True,True,living,full_body,Q193418,1135.0,6821.0,326.0,222;596
planktoscope,Amphisolenia,chromista,myzozoa,dinophyceae,dinophysales,amphisoleniaceae,amphisolenia,,amphisolenia,True,True,living,full_body,Q25364363,109459.0,584886.0,317118.0,745
planktoscope,Amphorellopsis,chromista,ciliophora,oligotrichea,choreotrichida,tintinnidae,amphorellopsis,,amphorellopsis,True,True,living,full_body,Q25362655,425527.0,513203.0,1022867.0,748
flowcamnet,Amphorides,chromista,ciliophora,oligotrichea,choreotrichida,tintinnidae,amphorides,,amphorides,True,True,living,full_body,Q25362658,183539.0,1049792.0,1022867.0,528
planktoscope,Amphorides_Tintinnidiidae,chromista,ciliophora,oligotrichea,choreotrichida,tintinnidae,amphorides,,amphorides,True,True,living,full_body,Q25362658,183539.0,1049792.0,1022867.0,528
syke_ifcb_2022,Amylax_triacantha,chromista,myzozoa,dinophyceae,gonyaulacales,gonyaulacaceae,amylax,triacantha,amylax triacantha,True,True,living,full_body,Q68445839,110007.0,447208.0,317052.0,240
syke_ifcb_2022,Dolichospermum-Anabaenopsis,bacteria,cyanobacteria,cyanophyceae,nostocales,nodulariaceae,anabaenopsis,,anabaenopsis,True,True,living,full_body,Q4750553,146590.0,110103.0,741486.0,697
syke_ifcb_2022,Dolichospermum-Anabaenopsis-coiled,bacteria,cyanobacteria,cyanophyceae,nostocales,nodulariaceae,anabaenopsis,,anabaenopsis,True,True,living,full_body,Q4750553,146590.0,110103.0,741486.0,697
planktonset1.0,trochophore_larvae,animalia,,,,,,,animalia,True,True,living,larvae,Q729,2.0,33208.0,,
global_uvp5,Annelida,animalia,annelida,,,,,,annelida,True,True,living,full_body,Q25522,882.0,6340.0,2.0,558;632
isiisnet,Annelida,animalia,annelida,,,,,,annelida,True,True,living,full_body,Q25522,882.0,6340.0,2.0,558;632
zoocamnet,Annelida,animalia,annelida,,,,,,annelida,True,True,living,full_body,Q25522,882.0,6340.0,2.0,558;632
zooscan,Annelida,animalia,annelida,,,,,,annelida,True,True,living,full_body,Q25522,882.0,6340.0,2.0,558;632
global_uvp5,larvae<Annelida,animalia,annelida,,,,,,annelida,True,True,living,larvae,Q25522,882.0,6340.0,2.0,558;632
planktoscope,larvae_Annelida,animalia,annelida,,,,,,annelida,True,True,living,larvae,Q25522,882.0,6340.0,2.0,558;632
zoocamnet,larvae_Annelida,animalia,annelida,,,,,,annelida,True,True,living,larvae,Q25522,882.0,6340.0,2.0,558;632
zooscan,larvae_Annelida,animalia,annelida,,,,,,annelida,True,True,living,larvae,Q25522,882.0,6340.0,2.0,558;632
zooscan,part_Annelida,animalia,annelida,,,,,,annelida,False,False,detritus,part,Q25522,882.0,6340.0,2.0,558;632
global_uvp5,Anthoathecata,animalia,cnidaria,hydrozoa,anthoathecata,,,,anthoathecata,True,True,living,full_body,Q14556976,13551.0,406427.0,142177.0,460
global_uvp5,Aphanizomenon,bacteria,cyanobacteria,cyanophyceae,nostocales,aphanizomenonaceae,aphanizomenon,,aphanizomenon,True,True,living,full_body,Q309515,160567.0,1175.0,468448.0,697
syke_ifcb_2022,Aphanizomenon_flosaquae,bacteria,cyanobacteria,cyanophyceae,nostocales,aphanizomenonaceae,aphanizomenon,,aphanizomenon,True,True,living,full_body,Q309515,160567.0,1175.0,468448.0,697
zoolake,aphanizomenon,bacteria,cyanobacteria,cyanophyceae,nostocales,aphanizomenonaceae,aphanizomenon,,aphanizomenon,True,True,living,full_body,Q309515,160567.0,1175.0,468448.0,697
syke_ifcb_2022,Aphanothece_paralleliformis,bacteria,cyanobacteria,cyanophyceae,chroococcales,microcystaceae,aphanothece,parallelliformis,aphanothece parallelliformis,True,True,living,full_body,Q61946551,249704.0,1121.0,707997.0,697
flowcamnet,Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
global_uvp5,Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
global_uvp5,body,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
global_uvp5,house,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
isiisnet,Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
isiisnet,Appendicularia_body,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
isiisnet,house,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
jedioceans,LClass_28.Larvacea,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
jedioceans,LClass_appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
jedioceans,LClass_Larvacea,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
medplanktonset,Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
planktonset1.0,appendicularian_s_shape,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
planktonset1.0,appendicularian_slight_curve,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
planktonset1.0,appendicularian_straight,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
planktoscope,Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
uvp6net,Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
uvp6net,dead<house,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
zoocamnet,Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,full_body,Q28960,146421.0,30302.0,96365.0,116;368;571
isiisnet,Appendicularia_like_body,animalia,chordata,appendicularia,,,,,appendicularia,True,True,living,like,Q28960,146421.0,30302.0,96365.0,116;368;571
planktoscope,head_Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,False,False,detritus,part_head,Q28960,146421.0,30302.0,96365.0,116;368;571
global_uvp5,tail<Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,False,False,detritus,part_tail,Q28960,146421.0,30302.0,96365.0,116;368;571
planktoscope,tail_Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,False,False,detritus,part_tail,Q28960,146421.0,30302.0,96365.0,116;368;571
zoocamnet,tail_Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,False,False,detritus,part_tail,Q28960,146421.0,30302.0,96365.0,116;368;571
zooscan,tail_Appendicularia,animalia,chordata,appendicularia,,,,,appendicularia,False,False,detritus,part_tail,Q28960,146421.0,30302.0,96365.0,116;368;571
lensless,ARCELLA VULGARIS,protozoa,amoebozoa,tubulinea,arcellinida,arcellidae,arcella,vulgaris,arcella vulgaris,True,True,living,full_body,Q2206721,136807.0,874295.0,2679727.0,
flowcamnet,artefact,,,,,,,,artefact,False,False,artefact,,,,,,208;688;714
global_uvp5,artefact,,,,,,,,artefact,False,False,artefact,,,,,,208;688;714
planktonset1.0,artifacts,,,,,,,,artefact,False,False,artefact,,,,,,208;688;714
planktonset1.0,artifacts_edge,,,,,,,,artefact,False,False,artefact,,,,,,208;688;714
planktoscope,artefact,,,,,,,,artefact,False,False,artefact,,,,,,208;688;714
uvp6net,artefact,,,,,,,,artefact,False,False,artefact,,,,,,208;688;714
zoocamnet,artefact,,,,,,,,artefact,False,False,artefact,,,,,,208;688;714
zooscan,artefact,,,,,,,,artefact,False,False,artefact,,,,,,208;688;714
flowcamnet,nauplii,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
global_uvp5,Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
isiisnet,Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
jedioceans,LClass_Cr.Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
jedioceans,LClass_Crust.+Decap,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
planktonset1.0,crustacean_other,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
zoocamnet,nauplii_Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
zoocamnet,other_Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
zooscan,metanauplii_Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
zooscan,nauplii_Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,full_body,Q1360,1065.0,6656.0,20.0,
global_uvp5,larvae<Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,larvae,Q1360,1065.0,6656.0,20.0,
zoocamnet,larvae_Crustacea,animalia,arthropoda,,,,,,arthropoda,True,True,living,larvae,Q1360,1065.0,6656.0,20.0,
jedioceans,LClass_crus_doubt,animalia,arthropoda,,,,,,arthropoda,True,True,living,like,Q1360,1065.0,6656.0,20.0,
flowcamnet,part_Crustacea,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part,Q1360,1065.0,6656.0,20.0,
global_uvp5,part<Crustacea,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part,Q1360,1065.0,6656.0,20.0,
jedioceans,LClass_partCrustaceo,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part,Q1360,1065.0,6656.0,20.0,
planktoscope,part_Crustacea,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part,Q1360,1065.0,6656.0,20.0,
zoocamnet,part_Crustacea,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part,Q1360,1065.0,6656.0,20.0,
zooscan,part_Crustacea,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part,Q1360,1065.0,6656.0,20.0,
jedioceans,LClass_carapace,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part_carapace,Q1360,1065.0,6656.0,20.0,
global_uvp5,head<Crustacea,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part_head,Q1360,1065.0,6656.0,20.0,
global_uvp5,leg<Crustacea,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part_leg,Q1360,1065.0,6656.0,20.0,
global_uvp5,tail<Crustacea,animalia,arthropoda,,,,,,arthropoda,False,False,detritus,part_tail,Q1360,1065.0,6656.0,20.0,
zoolake,asplanchna,animalia,rotifera,eurotatoria,ploima,asplanchnidae,asplanchna,,asplanchna,True,True,living,full_body,Q737675,134935.0,84396.0,31555.0,
planktoscope,Asterionella,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionella,,asterionella,True,True,living,full_body,Q150125,148953.0,35129.0,181159.0,615;658
zoolake,asterionella,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionella,,asterionella,True,True,living,full_body,Q150125,148953.0,35129.0,181159.0,615;658
planktoscope,Bleakeleya notata,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionella,bleakeleyi,asterionella bleakeleyi,True,True,living,full_body,Q61998650,149375.0,35129.0,181159.0,615;658
planktoscope,Asterionellopsis,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionellopsis,,asterionellopsis,True,True,living,full_body,Q25366557,149138.0,33639.0,87560.0,711
whoi,Asterionellopsis,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionellopsis,,asterionellopsis,True,True,living,full_body,Q25366557,149138.0,33639.0,87560.0,711
medplanktonset,Asterionellopsis_cf._glacialis,chromista,heterokontophyta,bacillariophyceae,fragilariales,fragilariaceae,asterionellopsis,glacialis,asterionellopsis glacialis,True,True,living,full_body,Q49620606,149139.0,33640.0,87561.0,711
planktoscope,bipinnaria,animalia,echinodermata,asteroidea,,,,,asteroidea,True,True,living,full_body,Q25349,123080.0,7588.0,30.0,290
planktonset1.0,echinoderm_larva_seastar_bipinnaria,animalia,echinodermata,asteroidea,,,,,asteroidea,True,True,living,larvae,Q25349,123080.0,7588.0,30.0,290
planktonset1.0,echinoderm_larva_seastar_brachiolaria,animalia,echinodermata,asteroidea,,,,,asteroidea,True,True,living,larvae,Q25349,123080.0,7588.0,30.0,290
flowcamnet,Asterolamprales,chromista,heterokontophyta,bacillariophyceae,asterolamprales,,,,asterolamprales,True,True,living,full_body,Q2868420,162250.0,941245.0,393182.0,711
planktoscope,Asterolamprales,chromista,heterokontophyta,bacillariophyceae,asterolamprales,,,,asterolamprales,True,True,living,full_body,Q2868420,162250.0,941245.0,393182.0,711
medplanktonset,Asteromphalus_spp,chromista,heterokontophyta,bacillariophyceae,asterolamprales,asterolampraceae,asteromphalus,,asteromphalus,True,True,living,full_body,Q2868422,162254.0,1529359.0,678265.0,706
medplanktonset,Asteromphalus_sarcophagus,chromista,heterokontophyta,bacillariophyceae,asterolamprales,asterolampraceae,asteromphalus,sarcophagus,asteromphalus sarcophagus,True,True,living,full_body,Q67892724,394598.0,1529359.0,678265.0,706
zooscan,Atlanta,animalia,mollusca,gastropoda,littorinimorpha,atlantidae,,,atlantidae,True,True,living,full_body,Q756491,22990.0,649145.0,85053.0,156
global_uvp5,Atolla,animalia,cnidaria,scyphozoa,coronatae,atollidae,atolla,,atolla,True,True,living,full_body,Q3378999,135248.0,86042.0,516123.0,669
global_uvp5,Aulacantha,chromista,cercozoa,thecofilosea,phaeocystida,aulacanthidae,aulacantha,,aulacantha,True,True,living,full_body,Q25368902,391969.0,238792.0,886873.0,246;567
global_uvp5,Aulacanthidae,chromista,cercozoa,thecofilosea,phaeocystida,aulacanthidae,,,aulacanthidae,True,True,living,full_body,Q25368818,367357.0,238791.0,886873.0,246;567
isiisnet,Aulacanthidae,chromista,cercozoa,thecofilosea,phaeocystida,aulacanthidae,,,aulacanthidae,True,True,living,full_body,Q25368818,367357.0,238791.0,886873.0,246;567
uvp6net,Aulacanthidae,chromista,cercozoa,thecofilosea,phaeocystida,aulacanthidae,,,aulacanthidae,True,True,living,full_body,Q25368818,367357.0,238791.0,886873.0,246;567
global_uvp5,Aulographis,chromista,cercozoa,thecofilosea,phaeocystida,aulacanthidae,aulographis,,aulographis,True,True,living,full_body,Q25368903,408871.0,1332241.0,886873.0,246;567
global_uvp5,Aulatractus,chromista,cercozoa,thecofilosea,phaeosphaerida,aulosphaeridae,,,aulosphaeridae,True,True,living,full_body,Q18654687,367360.0,238780.0,886873.0,595
global_uvp5,Aulosphaeridae,chromista,cercozoa,thecofilosea,phaeosphaerida,aulosphaeridae,,,aulosphaeridae,True,True,living,full_body,Q18654687,367360.0,238780.0,886873.0,595
global_uvp5,colonial<Aulosphaeridae,chromista,cercozoa,thecofilosea,phaeosphaerida,aulosphaeridae,,,aulosphaeridae,True,True,living,full_body,Q18654687,367360.0,238780.0,886873.0,595
uvp6net,Aulatractus,chromista,cercozoa,thecofilosea,phaeosphaerida,aulosphaeridae,,,aulosphaeridae,True,True,living,full_body,Q18654687,367360.0,238780.0,886873.0,595
uvp6net,Aulosphaeridae,chromista,cercozoa,thecofilosea,phaeosphaerida,aulosphaeridae,,,aulosphaeridae,True,True,living,full_body,Q18654687,367360.0,238780.0,886873.0,595
global_uvp5,like<colonial,chromista,cercozoa,thecofilosea,phaeosphaerida,aulosphaeridae,,,aulosphaeridae,True,True,living,like,Q18654687,367360.0,238780.0,886873.0,595
medplanktonset,Azadinium_caudatum,chromista,myzozoa,dinophyceae,dinophyceae,amphidomataceae,azadinium,caudatum,azadinium caudatum,True,True,living,full_body,Q68403873,837075.0,1129410.0,706282.0,240
planktoscope,Bacillaria,chromista,heterokontophyta,bacillariophyceae,bacillariales,bacillariaceae,bacillaria,,bacillaria,True,True,living,full_body,Q798285,149148.0,3002.0,180373.0,659
whoi,Bacillaria,chromista,heterokontophyta,bacillariophyceae,bacillariales,bacillariaceae,bacillaria,,bacillaria,True,True,living,full_body,Q798285,149148.0,3002.0,180373.0,659
planktoscope,cylindrotheca_nitzschia,chromista,heterokontophyta,bacillariophyceae,bacillariales,bacillariaceae,,,bacillariaceae,True,True,living,full_body,Q4838943,149002.0,33852.0,87576.0,711
flowcamnet,Bacillariophyceae,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
isiisnet,Bacillariophyceae,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
jedioceans,LClass_Di.Diatom,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
planktonset1.0,diatom_chain_string,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
planktonset1.0,diatom_chain_tube,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
planktoscope,Bacillariophyceae,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
planktoscope,Coscinodiscophycidae,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
planktoscope,frustule,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
whoi,diatom_flagellate,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
zoolake,diatom_chain,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,full_body,Q2878349,148899.0,33849.0,74456.0,711
planktoscope,multiple bacillariophyceae,chromista,heterokontophyta,bacillariophyceae,,,,,bacillariophyceae,True,True,living,mix,Q2878349,148899.0,33849.0,74456.0,711
flowcamnet,Bacteriastrum,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,bacteriastrum,,bacteriastrum,True,True,living,full_body,Q4840004,149118.0,426670.0,87564.0,538
medplanktonset,Bacteriastrum_spp,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,bacteriastrum,,bacteriastrum,True,True,living,full_body,Q4840004,149118.0,426670.0,87564.0,538
planktoscope,Bacteriastrum_Chaetocerotales,chromista,heterokontophyta,bacillariophyceae,chaetocerotanae,chaetocerotaceae,bacteriastrum,,bacteriastrum,True,True,living,full_body,Q4840004,149118.0,426670.0,87564.0,538
