Dataset,Raw_Labels,Kingdom,Phylum,Class,Order,Family,Genus,Species,proposed_label,plankton,living,root_class,qualifier,wikidata_ID,aphia_ID,NCBI_ID,BOLD_ID,ecotaxa_ID
flowcamnet,Ornithocercus,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,ornithocercus,magnificus,ornithocercus magnificus,True,True,living,full_body,Q68420199,109693.0,566470.0,317119.0,753
planktoscope,Ornithocercus magnificus_Ornithocercus,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,ornithocercus,magnificus,ornithocercus magnificus,True,True,living,full_body,Q68420199,109693.0,566470.0,317119.0,753
planktoscope,Ornithocercus quadratus_Ornithocercus,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,ornithocercus,quadratus,ornithocercus quadratus,True,True,living,full_body,Q68420226,109694.0,566471.0,317119.0,751
planktoscope,Ornithocercus splendidus,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,ornithocercus,splendidus,ornithocercus splendidus,True,True,living,full_body,Q68420299,109695.0,584863.0,317119.0,749
planktoscope,Ornithocercus steinii,chromista,myzozoa,dinophyceae,dinophysales,dinophysaceae,ornithocercus,steinii,ornithocercus steinii,True,True,living,full_body,Q68420324,109696.0,630347.0,317119.0,488;749;751;753
syke_ifcb_2022,Oscillatoriales,bacteria,cyanobacteria,cyanophyceae,oscillatoriales,,,,oscillatoriales,True,True,living,full_body,Q3492534,146603.0,1150.0,176346.0,697
global_uvp5,Ostracoda,animalia,arthropoda,ostracoda,,,,,ostracoda,True,True,living,full_body,Q276412,1078.0,6670.0,80.0,165;383
planktoscope,Ostracoda,animalia,arthropoda,ostracoda,,,,,ostracoda,True,True,living,full_body,Q276412,1078.0,6670.0,80.0,165;383
uvp6net,Ostracoda,animalia,arthropoda,ostracoda,,,,,ostracoda,True,True,living,full_body,Q276412,1078.0,6670.0,80.0,165;383
zooscan,Ostracoda,animalia,arthropoda,ostracoda,,,,,ostracoda,True,True,living,full_body,Q276412,1078.0,6670.0,80.0,165;383
global_uvp5,like<Ostracoda,animalia,arthropoda,ostracoda,,,,,ostracoda,True,True,living,like,Q276412,1078.0,6670.0,80.0,165;383
flowcamnet,other_living,,,,,,,,other,False,True,living,full_body,,,,,
global_uvp5,living,,,,,,,,other,False,True,living,full_body,,,,,
global_uvp5,other<living,,,,,,,,other,False,True,living,full_body,,,,,
isiisnet,other_living,,,,,,,,other,False,True,living,full_body,,,,,
planktoscope,other_living,,,,,,,,other,False,True,living,full_body,,,,,
uvp6net,other<living,,,,,,,,other,False,True,living,full_body,,,,,
zoocamnet,other_living,,,,,,,,other,False,True,living,full_body,,,,,
global_uvp5,part<other,,,,,,,,other,False,False,detritus,part,,,,,
jedioceans,LClass_organism_border,,,,,,,,other,False,False,detritus,part,,,,,
jedioceans,LClass_Organism_parts_general,,,,,,,,other,False,False,detritus,part,,,,,
global_uvp5,tentacle<gelatinous,,,,,,,,other,False,False,detritus,part_tentacle,,,,,
flowcamnet,dark,,,,,,,,other,False,False,artefact,,,,,,
flowcamnet,light,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,caps with filament,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,compact,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,dark<fluffy,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,darkrods,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,gelatinous,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,light<fluffy,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,othertocheck,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,temp cross,,,,,,,,other,False,False,artefact,,,,,,
global_uvp5,turbid,,,,,,,,other,False,False,artefact,,,,,,
isiisnet,streak,,,,,,,,other,False,False,artefact,,,,,,
jedioceans,LClass_Pa.Other_exuviae,,,,,,,,other,False,False,detritus,,,,,,
jedioceans,LRaw,,,,,,,,other,False,False,artefact,,,,,,
planktoscope,aggregates,,,,,,,,other,False,False,artefact,,,,,,
planktoscope,dry,,,,,,,,other,False,False,artefact,,,,,,
planktoscope,ghost,,,,,,,,other,False,False,artefact,,,,,,
planktoscope,multiple_other,,,,,,,,other,False,False,artefact,,,,,,
planktoscope,othertocheck,,,,,,,,other,False,False,artefact,,,,,,
planktoscope,rods_othertocheck,,,,,,,,other,False,False,artefact,,,,,,
whoi,bad,,,,,,,,other,False,False,artefact,,,,,,
whoi,other_interaction,,,,,,,,other,False,False,detritus,,,,,,
zoocamnet,gelatinous,,,,,,,,other,False,False,artefact,,,,,,
zoocamnet,other_plastic,,,,,,,,other plastic,False,False,inert,,,,,,
