qualifier	legacy_value
egg	egg
full_body	full_body
larvae	larvae
like	like
mix	mix
parasite	parasite
part	part
part_carapace	part_carapace
part_head	part_head
part_leg	part_leg
part_skin	part_skin
part_tail	part_tail
part_tentacle	part_tentacle
part_trunk	part_trunk
unqualified	
